Site,Age,d13C,Material
1262,65.717033,1.05,bulk carbonate
1262,65.720416,0.94,bulk carbonate
1262,65.7238,0.95,bulk carbonate
1262,65.728,0.94,bulk carbonate
1262,65.7322,1.30,bulk carbonate
1262,65.7364,0.98,bulk carbonate
1262,65.7406,0.99,bulk carbonate
1262,65.7448,1.07,bulk carbonate
1262,65.749,1.02,bulk carbonate
1262,65.7532,1.12,bulk carbonate
1262,65.7574,1.06,bulk carbonate
1262,65.7616,1.10,bulk carbonate
1262,65.7658,1.01,bulk carbonate
1262,65.77,1.00,bulk carbonate
1262,65.7742,1.05,bulk carbonate
1262,65.7784,1.00,bulk carbonate
1262,65.7826,1.10,bulk carbonate
1262,65.7868,0.90,bulk carbonate
1262,65.791,0.89,bulk carbonate
1262,65.7952,0.91,bulk carbonate
1262,65.7994,0.59,bulk carbonate
1262,65.8036,0.97,bulk carbonate
1262,65.8078,0.86,bulk carbonate
1262,65.812,0.83,bulk carbonate
1262,65.81425,0.60,bulk carbonate
1262,65.8165,0.74,bulk carbonate
1262,65.81875,0.58,bulk carbonate
1262,65.821,0.69,bulk carbonate
1262,65.82325,0.73,bulk carbonate
1262,65.8255,0.72,bulk carbonate
1262,65.82775,1.05,bulk carbonate
1262,65.83,0.94,bulk carbonate
1262,65.83225,1.21,bulk carbonate
1262,65.8345,1.09,bulk carbonate
1262,65.83675,1.02,bulk carbonate
1262,65.839,1.13,bulk carbonate
1262,65.84125,1.18,bulk carbonate
1262,65.8435,1.25,bulk carbonate
1262,65.84575,1.32,bulk carbonate
1262,65.848,1.41,bulk carbonate
1262,65.85025,1.20,bulk carbonate
1262,65.8525,1.27,bulk carbonate
1262,65.85475,1.30,bulk carbonate
1262,65.857,1.26,bulk carbonate
1262,65.85925,1.40,bulk carbonate
1262,65.86375,1.39,bulk carbonate
1262,65.866,1.47,bulk carbonate
1262,65.86825,1.40,bulk carbonate
1262,65.8705,1.51,bulk carbonate
1262,65.87275,1.47,bulk carbonate
1262,65.875,1.50,bulk carbonate
1262,65.87725,1.51,bulk carbonate
1262,65.8795,1.55,bulk carbonate
1262,65.88175,1.48,bulk carbonate
1262,65.884,1.57,bulk carbonate
1262,65.88625,1.55,bulk carbonate
1262,65.8885,1.57,bulk carbonate
1262,65.89075,1.55,bulk carbonate
1262,65.893,1.58,bulk carbonate
1262,65.89525,1.46,bulk carbonate
1262,65.8975,1.50,bulk carbonate
1262,65.89975,1.54,bulk carbonate
1262,65.902,1.55,bulk carbonate
1262,65.90425,1.67,bulk carbonate
1262,65.9065,1.52,bulk carbonate
1262,65.90875,1.60,bulk carbonate
1262,65.911,1.59,bulk carbonate
1262,65.913184,1.52,bulk carbonate
1262,65.915368,1.54,bulk carbonate
1262,65.917553,1.41,bulk carbonate
1262,65.919737,1.46,bulk carbonate
1262,65.921921,1.56,bulk carbonate
1262,65.924105,1.47,bulk carbonate
1262,65.926289,1.63,bulk carbonate
1262,65.928474,1.50,bulk carbonate
1262,65.930658,1.60,bulk carbonate
1262,65.932842,1.71,bulk carbonate
1262,65.935026,1.66,bulk carbonate
1262,65.937211,1.69,bulk carbonate
1262,65.941579,1.97,bulk carbonate
1262,65.943763,1.82,bulk carbonate
1262,65.945947,1.86,bulk carbonate
1262,65.9525,1.96,bulk carbonate
1262,65.954684,1.86,bulk carbonate
1262,65.956868,1.85,bulk carbonate
1262,65.963421,1.73,bulk carbonate
1262,65.965605,1.74,bulk carbonate
1262,65.967789,2.08,bulk carbonate
1262,65.969974,1.88,bulk carbonate
1262,65.972158,2.00,bulk carbonate
1262,65.974342,2.01,bulk carbonate
1262,65.976526,2.00,bulk carbonate
1262,65.978711,1.92,bulk carbonate
1262,65.980895,1.96,bulk carbonate
1262,65.983079,2.03,bulk carbonate
1262,65.985263,2.03,bulk carbonate
1262,65.987447,1.84,bulk carbonate
1262,65.989632,1.99,bulk carbonate
1262,65.991816,1.90,bulk carbonate
1262,65.994,2.09,bulk carbonate
1262,65.994651,2.01,bulk carbonate
1262,65.995302,1.96,bulk carbonate
1262,65.995953,2.06,bulk carbonate
1262,65.996605,1.92,bulk carbonate
1262,65.997256,2.03,bulk carbonate
1262,65.997907,2.05,bulk carbonate
1262,65.998558,2.12,bulk carbonate
1262,65.999209,2.25,bulk carbonate
1262,65.99986,2.27,bulk carbonate
1262,66.000512,2.38,bulk carbonate
1262,66.001163,2.13,bulk carbonate
1262,66.001814,2.23,bulk carbonate
1262,66.002465,2.26,bulk carbonate
1262,66.003116,2.28,bulk carbonate
1262,66.003767,2.15,bulk carbonate
1262,66.004419,2.21,bulk carbonate
1262,66.005721,2.44,bulk carbonate
1262,66.006372,2.36,bulk carbonate
1262,66.007023,2.29,bulk carbonate
1262,66.007674,2.42,bulk carbonate
1262,66.008326,2.26,bulk carbonate
1262,66.008977,2.40,bulk carbonate
1262,66.009628,2.39,bulk carbonate
1262,66.010279,2.42,bulk carbonate
1262,66.01093,2.35,bulk carbonate
1262,66.011581,2.32,bulk carbonate
1262,66.012233,2.29,bulk carbonate
1262,66.012884,2.45,bulk carbonate
1262,66.013535,2.43,bulk carbonate
1262,66.014837,2.37,bulk carbonate
1262,66.015488,2.40,bulk carbonate
1262,66.01614,2.50,bulk carbonate
1262,66.016791,2.22,bulk carbonate
1262,66.017442,2.32,bulk carbonate
1262,66.018093,2.20,bulk carbonate
1262,66.018744,2.19,bulk carbonate
1262,66.019395,2.24,bulk carbonate
1262,66.020047,2.26,bulk carbonate
1262,66.020698,2.39,bulk carbonate
1262,66.021349,2.52,bulk carbonate
1262,66.022438,2.86,bulk carbonate
1262,66.022876,3.08,bulk carbonate
1262,66.023751,3.35,bulk carbonate
1262,66.024189,3.19,bulk carbonate
1262,66.024627,3.37,bulk carbonate
1262,66.025065,3.30,bulk carbonate
1262,66.025503,3.25,bulk carbonate
1262,66.025941,3.28,bulk carbonate
1262,66.026379,3.28,bulk carbonate
1262,66.026817,3.39,bulk carbonate
1262,66.027254,3.38,bulk carbonate
1262,66.027692,3.30,bulk carbonate
1262,66.029006,3.26,bulk carbonate
1262,66.03032,3.43,bulk carbonate
1262,66.031633,3.28,bulk carbonate
1262,66.032947,3.35,bulk carbonate
1262,66.03426,3.37,bulk carbonate
1262,66.035574,3.29,bulk carbonate
1262,66.036888,3.38,bulk carbonate
1262,66.038201,3.37,bulk carbonate
1262,66.039515,3.29,bulk carbonate
1262,66.040828,3.21,bulk carbonate
1262,66.042142,3.29,bulk carbonate
1262,66.043456,3.08,bulk carbonate
1262,66.046083,3.12,bulk carbonate
1262,66.047396,3.22,bulk carbonate
1262,66.04871,3.17,bulk carbonate
1262,66.050024,3.26,bulk carbonate
1262,66.051337,3.14,bulk carbonate
1262,66.052651,3.13,bulk carbonate
1262,66.053964,3.29,bulk carbonate
1262,66.055278,3.23,bulk carbonate
1262,66.056592,3.10,bulk carbonate
1262,66.058343,3.12,bulk carbonate
1262,66.059657,3.33,bulk carbonate
1262,66.06097,3.04,bulk carbonate
1262,66.062284,2.99,bulk carbonate
1262,66.063598,2.94,bulk carbonate
1262,66.064911,3.11,bulk carbonate
1262,66.066225,3.28,bulk carbonate
1262,66.067538,3.06,bulk carbonate
1262,66.068852,3.11,bulk carbonate
1262,66.070166,3.15,bulk carbonate
1262,66.071479,3.19,bulk carbonate
1262,66.072793,3.20,bulk carbonate
1262,66.074107,3.17,bulk carbonate
1262,66.07542,3.31,bulk carbonate
1262,66.076734,3.29,bulk carbonate
1262,66.078047,3.29,bulk carbonate
1262,66.079361,3.09,bulk carbonate
1262,66.080675,3.00,bulk carbonate
1262,66.081988,3.01,bulk carbonate
1262,66.083302,2.84,bulk carbonate
1262,66.084615,3.12,bulk carbonate
1262,66.085929,2.89,bulk carbonate
1262,66.087243,3.05,bulk carbonate
1262,66.088556,2.96,bulk carbonate
1262,66.08987,2.86,bulk carbonate
1262,66.091183,2.97,bulk carbonate
1262,66.092497,2.89,bulk carbonate
1262,66.093811,2.80,bulk carbonate
1262,66.095124,2.99,bulk carbonate
