44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10	44.10
49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76	49.76
59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07	59.07
69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47	69.47
80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21	80.21
90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78	90.78
100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70	100.70
109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60	109.60
117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21	117.21
123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41	123.41
