model,time,zooplankton biomass (Pg C),phytoplankton biomass (Pg C),mixoplankton biomass (Pg C),size mean (μm),exp
1,125.5,0.14258783,0.11571229,0.40814218,46.399643,solar effect
1,126.5,0.14072518,0.11433013,0.40381035,45.957233,solar effect
1,127.5,0.13891295,0.11300698,0.39972904,45.542553,solar effect
1,128.5,0.13715631,0.11171776,0.39569432,45.132763,solar effect
1,129.5,0.13548431,0.110511094,0.39202356,44.770985,solar effect
1,130.5,0.13386598,0.10932121,0.3883236,44.379425,solar effect
1,131.5,0.13231114,0.10821119,0.38486162,44.018208,solar effect
1,132.5,0.13089943,0.107193366,0.3817209,43.683723,solar effect
1,133.5,0.12959209,0.10625175,0.37885344,43.383503,solar effect
1,134.5,0.12838994,0.10541643,0.37633437,43.130615,solar effect
1,135.5,0.12725073,0.10466688,0.37408638,42.93275,solar effect
1,136.5,0.12613118,0.1039291,0.37181717,42.702057,solar effect
1,137.5,0.1251106,0.10326753,0.36983675,42.48946,solar effect
1,138.5,0.124102265,0.10263008,0.36794806,42.288548,solar effect
1,139.5,0.12310836,0.102020234,0.36616203,42.10076,solar effect
1,140.5,0.12211478,0.10141179,0.36436477,41.902695,solar effect
1,141.5,0.12113881,0.100823104,0.36263835,41.716114,solar effect
1,142.5,0.12013433,0.100207105,0.36082226,41.509502,solar effect
1,143.5,0.11917667,0.09962299,0.35911462,41.313995,solar effect
1,144.5,0.11821229,0.09904511,0.35744435,41.12549,solar effect
1,145.5,0.11728485,0.09849261,0.35577613,40.93227,solar effect
1,146.5,0.11639663,0.09794756,0.35413787,40.74382,solar effect
1,147.5,0.11555109,0.097428784,0.35259527,40.57382,solar effect
1,148.5,0.11475378,0.09692936,0.351128,40.414894,solar effect
1,149.5,0.11399728,0.09645414,0.3497314,40.25984,solar effect
1,199.5,0.101199925,0.08756376,0.32164472,37.1235,solar effect
2,0.5,0.10015385,0.08929633,0.30355453,38.682323,solar effect
2,99.5,0.09210588,0.08051182,0.2978494,33.870495,solar effect
2,100.5,0.050237812,0.04171218,0.155808,33.43359,solar effect
