Age,Material,d13C
65.099,bulk,2.098
65.099,bulk,2.001
65.100,bulk,2.077
65.101,bulk,2.076
65.102,bulk,2.004
65.102,bulk,2.063
65.103,bulk,2.044
65.104,bulk,2.041
65.105,bulk,2.081
65.107,bulk,2.075
65.107,bulk,2.071
65.108,bulk,2.044
65.108,bulk,2.004
65.109,bulk,2.073
65.110,bulk,2.023
65.111,bulk,2.122
65.111,bulk,1.972
65.112,bulk,2.087
65.113,bulk,2.068
65.113,bulk,2.072
65.114,bulk,2.062
65.115,bulk,2.094
65.116,bulk,2.058
65.116,bulk,2.090
65.117,bulk,2.031
65.117,bulk,2.150
65.119,bulk,2.025
65.119,bulk,2.033
65.120,bulk,2.011
65.120,bulk,2.031
65.122,bulk,2.084
65.123,bulk,2.040
65.125,bulk,2.000
65.126,bulk,2.006
65.128,bulk,2.029
65.129,bulk,2.050
65.131,bulk,2.040
65.133,bulk,2.067
65.138,bulk,2.071
65.144,bulk,2.101
65.149,bulk,2.121
65.154,bulk,2.095
65.159,bulk,2.083
65.164,bulk,2.055
65.169,bulk,2.034
65.175,bulk,2.069
65.180,bulk,2.034
65.185,bulk,2.056
65.190,bulk,1.968
65.195,bulk,1.975
65.200,bulk,1.990
65.211,bulk,2.002
65.216,bulk,1.964
65.221,bulk,1.948
65.226,bulk,1.921
65.228,bulk,1.878
65.230,bulk,1.891
65.233,bulk,1.940
65.235,bulk,1.946
65.237,bulk,1.954
65.240,bulk,1.938
65.242,bulk,1.947
65.245,bulk,2.019
65.247,bulk,1.975
65.249,bulk,1.947
65.252,bulk,1.857
65.254,bulk,1.737
65.256,bulk,1.809
65.259,bulk,1.810
65.261,bulk,1.737
65.263,bulk,1.825
65.266,bulk,1.777
65.268,bulk,1.764
65.271,bulk,1.720
65.273,bulk,1.705
65.275,bulk,1.736
65.278,bulk,1.752
65.280,bulk,1.740
65.282,bulk,1.783
65.285,bulk,1.805
65.287,bulk,1.855
65.292,bulk,1.904
65.294,bulk,1.842
65.297,bulk,1.978
65.299,bulk,1.936
65.301,bulk,1.872
65.304,bulk,1.868
65.306,bulk,1.882
65.308,bulk,1.721
65.311,bulk,1.750
65.313,bulk,1.701
65.315,bulk,1.697
65.318,bulk,1.693
65.320,bulk,1.666
65.323,bulk,1.698
65.325,bulk,1.675
65.327,bulk,1.641
65.330,bulk,1.694
65.334,bulk,1.748
65.338,bulk,1.598
65.342,bulk,1.647
65.350,bulk,1.688
65.354,bulk,1.675
65.358,bulk,1.687
65.362,bulk,1.577
65.366,bulk,1.572
65.370,bulk,1.592
65.374,bulk,1.586
65.378,bulk,1.817
65.383,bulk,1.694
65.387,bulk,1.690
65.391,bulk,1.658
65.395,bulk,1.655
65.399,bulk,1.736
65.403,bulk,1.771
65.407,bulk,1.754
65.411,bulk,1.721
65.415,bulk,1.709
65.419,bulk,1.657
65.423,bulk,1.692
65.427,bulk,1.633
65.431,bulk,1.684
65.434,bulk,1.631
65.436,bulk,1.631
65.438,bulk,1.638
65.439,bulk,1.651
65.441,bulk,1.642
65.442,bulk,1.609
65.444,bulk,1.586
65.446,bulk,1.564
65.447,bulk,1.701
65.449,bulk,1.728
65.450,bulk,1.552
65.452,bulk,1.668
65.454,bulk,1.723
65.455,bulk,1.775
65.457,bulk,1.723
65.458,bulk,1.705
65.460,bulk,1.784
65.462,bulk,1.739
65.463,bulk,1.776
65.465,bulk,1.779
65.466,bulk,1.837
65.468,bulk,1.811
65.470,bulk,1.785
65.471,bulk,1.763
65.473,bulk,1.811
65.474,bulk,1.813
65.476,bulk,1.832
65.478,bulk,1.859
65.479,bulk,1.826
65.481,bulk,1.802
65.483,bulk,1.808
65.484,bulk,1.789
65.486,bulk,1.806
65.487,bulk,1.780
65.489,bulk,1.772
65.491,bulk,1.752
65.492,bulk,1.744
65.494,bulk,1.748
65.495,bulk,1.738
65.497,bulk,1.719
65.499,bulk,1.743
65.500,bulk,1.771
65.502,bulk,1.777
65.503,bulk,1.729
65.505,bulk,1.743
65.507,bulk,1.665
65.508,bulk,1.776
65.510,bulk,1.624
65.511,bulk,1.603
65.513,bulk,1.690
65.515,bulk,1.674
65.516,bulk,1.697
65.518,bulk,1.803
65.519,bulk,1.775
65.521,bulk,1.804
65.523,bulk,1.778
65.524,bulk,1.873
65.526,bulk,1.802
65.528,bulk,1.857
65.530,bulk,1.833
65.533,bulk,1.798
65.535,bulk,1.724
65.537,bulk,1.744
65.540,bulk,1.700
65.542,bulk,1.752
65.542,bulk,1.663
65.545,bulk,1.751
65.547,bulk,1.868
65.550,bulk,1.869
65.552,bulk,1.828
65.555,bulk,1.774
65.557,bulk,1.742
65.560,bulk,1.806
65.562,bulk,1.725
65.565,bulk,1.747
65.567,bulk,1.753
65.570,bulk,1.791
65.572,bulk,1.817
65.574,bulk,1.851
65.577,bulk,1.973
65.579,bulk,1.918
65.582,bulk,1.891
65.584,bulk,1.893
65.587,bulk,1.872
65.589,bulk,1.842
65.592,bulk,1.752
65.594,bulk,1.768
65.597,bulk,1.706
65.599,bulk,1.643
65.603,bulk,1.633
65.609,bulk,1.610
65.616,bulk,1.636
65.623,bulk,1.644
65.629,bulk,1.524
65.636,bulk,1.475
65.642,bulk,1.407
65.649,bulk,1.420
65.656,bulk,1.434
65.662,bulk,1.385
65.669,bulk,1.478
65.676,bulk,1.563
65.682,bulk,1.554
65.689,bulk,1.467
65.695,bulk,1.500
65.702,bulk,1.495
65.707,bulk,1.471
65.709,bulk,1.523
65.711,bulk,1.520
